state,total_sales
California,446306.46
New York,306361.15
Texas,168572.53
Washington,135206.85
Pennsylvania,116276.65
Florida,88436.53
Illinois,79236.52
Michigan,76136.07
Ohio,75130.35
Virginia,70636.72
North Carolina,55165.96
Indiana,48718.4
Georgia,48219.11
Kentucky,36458.39
Arizona,35272.66
New Jersey,34610.97
Colorado,31841.6
Wisconsin,31173.43
Tennessee,30661.87
Minnesota,29863.15
Massachusetts,28634.43
Delaware,27323.0
Maryland,23705.52
Rhode Island,22525.03
Missouri,22205.15
Oklahoma,19683.39
Alabama,19510.64
Oregon,17284.46
Nevada,16729.1
Connecticut,13384.36
Arkansas,11678.13
Utah,11220.06
Mississippi,10771.34
Louisiana,9131.05
Vermont,8929.37
South Carolina,8481.71
Nebraska,7464.93
New Hampshire,7292.52
Montana,5589.35
New Mexico,4783.52
Iowa,4443.56
Idaho,4382.49
Kansas,2914.31
District of Columbia,2865.02
Wyoming,1603.14
South Dakota,1315.56
Maine,1270.53
West Virginia,1209.82
North Dakota,919.91
