State,Sales
Alabama,19510.64
Arizona,35272.657
Arkansas,11678.13
California,446306.4635
Colorado,31841.597999999998
Connecticut,13384.357
Delaware,27322.999
District of Columbia,2865.02
Florida,88436.532
Georgia,48219.11
Idaho,4382.486
Illinois,79236.517
Indiana,48718.4
Iowa,4443.56
Kansas,2914.31
Kentucky,36458.39
Louisiana,9131.05
Maine,1270.53
Maryland,23705.523
Massachusetts,28634.434
Michigan,76136.074
Minnesota,29863.15
Mississippi,10771.34
Missouri,22205.15
Montana,5589.352
Nebraska,7464.93
Nevada,16729.102
New Hampshire,7292.524
New Jersey,34610.972
New Mexico,4783.522
New York,306361.147
North Carolina,55165.964
North Dakota,919.91
Ohio,75130.35
Oklahoma,19683.39
Oregon,17284.462
Pennsylvania,116276.65
Rhode Island,22525.026
South Carolina,8481.71
South Dakota,1315.56
Tennessee,30661.873
Texas,168572.5322
Utah,11220.056
Vermont,8929.369999999999
Virginia,70636.72
Washington,135206.85
West Virginia,1209.824
Wisconsin,31173.43
Wyoming,1603.136
