state,total_sales
California,439307.99
New York,305040.46
Texas,167954.51
Washington,133155.75
Pennsylvania,114686.34
Florida,87839.71
Illinois,78141.25
Michigan,75893.6
Ohio,73489.86
Virginia,70309.09
North Carolina,55111.01
Indiana,48637.47
Georgia,47419.57
Kentucky,36458.39
Arizona,34275.56
New Jersey,33447.23
Wisconsin,31150.71
Colorado,31018.72
Tennessee,30422.77
Minnesota,29863.15
Massachusetts,28428.2
Delaware,26908.1
Maryland,23660.77
Rhode Island,22497.83
Missouri,21557.91
Alabama,19510.64
Oklahoma,19142.15
Oregon,17135.41
Nevada,16642.9
Connecticut,13317.8
Arkansas,11495.19
Mississippi,10729.47
Utah,10575.04
Louisiana,9131.05
Vermont,8929.37
South Carolina,7986.25
Nebraska,7447.29
New Hampshire,7292.52
Montana,5583.26
New Mexico,4783.52
Iowa,4383.57
Idaho,4273.49
Kansas,2914.31
District of Columbia,2865.02
Wyoming,1603.14
South Dakota,1315.56
Maine,1270.53
West Virginia,1209.82
North Dakota,919.91
